2018-08-14 02:18:04.758        --- [           Thread-86] Validating input.
2018-08-14 02:18:04.759        --- [           Thread-29] Starting user insert thread with name = Thread-88
2018-08-14 02:18:04.760        --- [           Thread-87] Validating input.
2018-08-14 02:18:04.761        --- [           Thread-29] Starting user insert thread with name = Thread-89
2018-08-14 02:18:04.764        --- [           Thread-88] Validating input.
2018-08-14 02:18:04.766        --- [           Thread-29] Starting user insert thread with name = Thread-90
2018-08-14 02:18:04.766        --- [           Thread-89] Validating input.
2018-08-14 02:18:04.767        --- [           Thread-29] Starting user insert thread with name = Thread-91
2018-08-14 02:18:04.768        --- [           Thread-90] Validating input.
2018-08-14 02:18:04.769        --- [           Thread-45] Inserted new user with id=5b72741c3af6b069b215a574
2018-08-14 02:18:04.770        --- [           Thread-82] Inserted new user with id=5b72741c3af6b069b215a57e
2018-08-14 02:18:04.771        --- [           Thread-40] Inserted new user with id=5b72741c3af6b069b215a581
2018-08-14 02:18:04.771        --- [           Thread-34] Inserted new user with id=5b72741c3af6b069b215a568
2018-08-14 02:18:04.772        --- [           Thread-90] Inserted new user with id=5b72741c3af6b069b215a590
2018-08-14 02:18:04.772        --- [           Thread-91] Validating input.
2018-08-14 02:18:04.773        --- [           Thread-44] Inserted new user with id=5b72741c3af6b069b215a57f
2018-08-14 02:18:04.774        --- [           Thread-55] Inserted new user with id=5b72741c3af6b069b215a582
2018-08-14 02:18:04.774        --- [           Thread-91] Inserted new user with id=5b72741c3af6b069b215a591
2018-08-14 02:18:04.775        --- [           Thread-80] Inserted new user with id=5b72741c3af6b069b215a569
2018-08-14 02:18:04.775        --- [           Thread-51] Inserted new user with id=5b72741c3af6b069b215a583
2018-08-14 02:18:04.775        --- [           Thread-42] Inserted new user with id=5b72741c3af6b069b215a585
2018-08-14 02:18:04.776        --- [           Thread-83] Inserted new user with id=5b72741c3af6b069b215a584
2018-08-14 02:18:04.776        --- [           Thread-67] Inserted new user with id=5b72741c3af6b069b215a586
2018-08-14 02:18:04.776        --- [           Thread-50] Inserted new user with id=5b72741c3af6b069b215a580
2018-08-14 02:18:04.777        --- [           Thread-60] Inserted new user with id=5b72741c3af6b069b215a56c
2018-08-14 02:18:04.777        --- [           Thread-43] Inserted new user with id=5b72741c3af6b069b215a57c
2018-08-14 02:18:04.777        --- [           Thread-38] Inserted new user with id=5b72741c3af6b069b215a570
2018-08-14 02:18:04.792        --- [           Thread-64] Inserted new user with id=5b72741c3af6b069b215a578
2018-08-14 02:18:04.792        --- [           Thread-29] Starting user insert thread with name = Thread-92
2018-08-14 02:18:04.792        --- [           Thread-49] Inserted new user with id=5b72741c3af6b069b215a573
2018-08-14 02:18:04.793        --- [           Thread-53] Inserted new user with id=5b72741c3af6b069b215a571
2018-08-14 02:18:04.793        --- [           Thread-89] Inserted new user with id=5b72741c3af6b069b215a58f
2018-08-14 02:18:04.793        --- [           Thread-65] Inserted new user with id=5b72741c3af6b069b215a57d
2018-08-14 02:18:04.794        --- [           Thread-68] Inserted new user with id=5b72741c3af6b069b215a56b
2018-08-14 02:18:04.794        --- [           Thread-81] Inserted new user with id=5b72741c3af6b069b215a57b
2018-08-14 02:18:04.794        --- [           Thread-59] Inserted new user with id=5b72741c3af6b069b215a588
2018-08-14 02:18:04.795        --- [           Thread-84] Inserted new user with id=5b72741c3af6b069b215a58a
2018-08-14 02:18:04.795        --- [           Thread-92] Validating input.
2018-08-14 02:18:04.796        --- [           Thread-62] Inserted new user with id=5b72741c3af6b069b215a56e
2018-08-14 02:18:04.796        --- [           Thread-29] Starting user insert thread with name = Thread-94
2018-08-14 02:18:04.796        --- [           Thread-63] Inserted new user with id=5b72741c3af6b069b215a579
2018-08-14 02:18:04.796        --- [           Thread-85] Inserted new user with id=5b72741c3af6b069b215a58b
2018-08-14 02:18:04.796        --- [           Thread-32] Inserted new user with id=5b72741c3af6b069b215a56a
2018-08-14 02:18:04.797        --- [           Thread-70] Inserted new user with id=5b72741c3af6b069b215a56d
2018-08-14 02:18:04.797        --- [           Thread-33] Inserted new user with id=5b72741c3af6b069b215a56f
2018-08-14 02:18:04.797        --- [           Thread-71] Inserted new user with id=5b72741c3af6b069b215a577
2018-08-14 02:18:04.797        --- [           Thread-69] Inserted new user with id=5b72741c3af6b069b215a5a2
2018-08-14 02:18:04.797        --- [           Thread-54] Inserted new user with id=5b72741c3af6b069b215a5a1
2018-08-14 02:18:04.798        --- [           Thread-86] Inserted new user with id=5b72741c3af6b069b215a58c
2018-08-14 02:18:04.798        --- [           Thread-37] Inserted new user with id=5b72741c3af6b069b215a576
2018-08-14 02:18:04.798        --- [           Thread-78] Inserted new user with id=5b72741c3af6b069b215a5a0
2018-08-14 02:18:04.798        --- [           Thread-87] Inserted new user with id=5b72741c3af6b069b215a58d
2018-08-14 02:18:04.798        --- [           Thread-76] Inserted new user with id=5b72741c3af6b069b215a59f
2018-08-14 02:18:04.799        --- [           Thread-57] Inserted new user with id=5b72741c3af6b069b215a59d
2018-08-14 02:18:04.799        --- [           Thread-79] Inserted new user with id=5b72741c3af6b069b215a572
2018-08-14 02:18:04.799        --- [           Thread-77] Inserted new user with id=5b72741c3af6b069b215a59e
2018-08-14 02:18:04.799        --- [           Thread-52] Inserted new user with id=5b72741c3af6b069b215a575
2018-08-14 02:18:04.799        --- [           Thread-88] Inserted new user with id=5b72741c3af6b069b215a58e
2018-08-14 02:18:04.800        --- [           Thread-58] Inserted new user with id=5b72741c3af6b069b215a59c
2018-08-14 02:18:04.800        --- [           Thread-47] Inserted new user with id=5b72741c3af6b069b215a59b
2018-08-14 02:18:04.800        --- [           Thread-48] Inserted new user with id=5b72741c3af6b069b215a59a
2018-08-14 02:18:04.800        --- [           Thread-66] Inserted new user with id=5b72741c3af6b069b215a598
2018-08-14 02:18:04.801        --- [           Thread-39] Inserted new user with id=5b72741c3af6b069b215a599
2018-08-14 02:18:04.801        --- [           Thread-35] Inserted new user with id=5b72741c3af6b069b215a596
2018-08-14 02:18:04.801        --- [           Thread-46] Inserted new user with id=5b72741c3af6b069b215a597
2018-08-14 02:18:04.801        --- [           Thread-56] Inserted new user with id=5b72741c3af6b069b215a594
2018-08-14 02:18:04.801        --- [           Thread-61] Inserted new user with id=5b72741c3af6b069b215a595
2018-08-14 02:18:04.802        --- [           Thread-36] Validating input.
2018-08-14 02:18:04.802        --- [           Thread-30] Starting user insert thread with name = Thread-93
2018-08-14 02:18:04.802        --- [           Thread-93] Validating input.
2018-08-14 02:18:04.804        --- [           Thread-36] Inserted new user with id=5b72741c3af6b069b215a5a4
2018-08-14 02:18:04.804        --- [           Thread-28] Starting row parsing thread with name = Thread-74
2018-08-14 02:18:04.804        --- [           Thread-75] Inserted new user with id=5b72741c3af6b069b215a592
2018-08-14 02:18:04.805        --- [           Thread-73] Inserted new user with id=5b72741c3af6b069b215a593
2018-08-14 02:18:04.805        --- [           Thread-31] Inserted new user with id=5b72741c3af6b069b215a587
2018-08-14 02:18:04.805        --- [           Thread-72] Inserted new user with id=5b72741c3af6b069b215a57a
2018-08-14 02:18:04.806        --- [           Thread-74] Starting user insert thread with name = Thread-98
2018-08-14 02:18:04.806        --- [           Thread-93] Inserted new user with id=5b72741c3af6b069b215a5a5
2018-08-14 02:18:04.806        --- [           Thread-98] Validating input.
2018-08-14 02:18:04.806        --- [           Thread-27] Starting row parsing thread with name = Thread-97
2018-08-14 02:18:04.806        --- [           Thread-30] Starting user insert thread with name = Thread-96
2018-08-14 02:18:04.807        --- [           Thread-92] Inserted new user with id=5b72741c3af6b069b215a5a3
2018-08-14 02:18:04.807        --- [           Thread-94] Validating input.
2018-08-14 02:18:04.807        --- [           Thread-29] Starting user insert thread with name = Thread-95
2018-08-14 02:18:04.807        --- [           Thread-41] Inserted new user with id=5b72741c3af6b069b215a589
2018-08-14 02:18:04.807        --- [           Thread-98] Inserted new user with id=5b72741c3af6b069b215a5a6
2018-08-14 02:18:04.808        --- [           Thread-74] Starting user insert thread with name = Thread-99
2018-08-14 02:18:04.809        --- [           Thread-99] Validating input.
2018-08-14 02:18:04.809        --- [           Thread-74] Starting user insert thread with name = Thread-101
2018-08-14 02:18:04.809        --- [           Thread-94] Inserted new user with id=5b72741c3af6b069b215a5a7
2018-08-14 02:18:04.809        --- [           Thread-74] Starting user insert thread with name = Thread-102
2018-08-14 02:18:04.810        --- [           Thread-95] Validating input.
2018-08-14 02:18:04.810        --- [           Thread-74] Starting user insert thread with name = Thread-105
2018-08-14 02:18:04.811        --- [          Thread-101] Validating input.
2018-08-14 02:18:04.811        --- [           Thread-74] Starting user insert thread with name = Thread-106
2018-08-14 02:18:04.811        --- [          Thread-102] Validating input.
2018-08-14 02:18:04.811        --- [           Thread-96] Validating input.
2018-08-14 02:18:04.812        --- [           Thread-29] Starting user insert thread with name = Thread-104
2018-08-14 02:18:04.812        --- [           Thread-30] Starting user insert thread with name = Thread-103
2018-08-14 02:18:04.812        --- [          Thread-104] Validating input.
2018-08-14 02:18:04.813        --- [          Thread-106] Validating input.
2018-08-14 02:18:04.813        --- [           Thread-74] Starting user insert thread with name = Thread-107
